"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , 0.97088         , 0.001           
1               , 0.949523        , 0.001           
2               , 0.806           , 0.001           
3               , 0.622508        , 0.001           
4               , 0.438833        , 0.001           
5               , 0.277646        , 0.001           
6               , 0.1509          , 0.001           
7               , 0.0625091       , 0.001           
8               , 0.0102987       , 0.001           
9               , -0.0120006      , 0.001           
10              , -0.0126617      , 0.001           
11              , -0.000101412    , 0.001           
12              , 0.0182152       , 0.001           
13              , 0.0354716       , 0.001           
14              , 0.0429159       , 0.001           
15              , 0.0227861       , 0.001           
16              , -0.0709653      , 0.001           
17              , -0.372407       , 0.001           
18              , -1.29804        , 0.001           
19              , 3.96917         , 0.001           
20              , 3.96406         , 0.001           
21              , 3.55176         , 0.001           
22              , 2.96458         , 0.001           
23              , 2.30863         , 0.001           
24              , 1.64908         , 0.001           
25              , 1.02932         , 0.001           
26              , 0.477931        , 0.001           
27              , 0.0134642       , 0.001           
28              , -0.350735       , 0.001           
29              , -0.602596       , 0.001           
30              , -0.731034       , 0.001           
31              , -0.732571       , 0.001           
32              , -0.62481        , 0.001           
33              , -0.456229       , 0.001           
34              , -0.287916       , 0.001           
35              , -0.135661       , 0.001           
36              , 0.062725        , 0.001           
37              , 0.35823         , 0.001           
